Byte_size,Stride,Time,Chain_type
4096, 17, 1.24792e-14, linear
4096, 17, 1.24521e-14, random
8192, 17, 1.25605e-14, linear
8192, 17, 1.35634e-14, random
16384, 17, 1.25496e-14, linear
16384, 17, 1.56721e-14, random
32768, 17, 1.35851e-14, linear
32768, 17, 1.3623e-14, random
65536, 17, 1.36935e-14, linear
65536, 17, 1.3249e-14, random
131072, 17, 1.33411e-14, linear
131072, 17, 1.39266e-14, random
262144, 17, 1.41814e-14, linear
262144, 17, 1.4035e-14, random
524288, 17, 1.96024e-14, linear
524288, 17, 1.3417e-14, random
1048576, 17, 1.61275e-14, linear
1048576, 17, 1.52981e-14, random
2097152, 17, 1.45608e-14, linear
2097152, 17, 1.4859e-14, random
4194304, 17, 1.63227e-14, linear
4194304, 17, 1.50108e-14, random
8388608, 17, 2.8856e-14, linear
8388608, 17, 2.61835e-14, random
16777216, 17, 5.65845e-14, linear
16777216, 17, 5.77121e-14, random
33554432, 17, 7.03159e-14, linear
33554432, 17, 6.47973e-14, random
67108864, 17, 8.64272e-14, linear
67108864, 17, 8.15971e-14, random
134217728, 17, 9.15012e-14, linear
134217728, 17, 8.25999e-14, random
1024, 18, 1.25605e-14, linear
1024, 18, 1.33357e-14, random
2048, 18, 1.33519e-14, linear
2048, 18, 1.26039e-14, random
4096, 18, 1.29725e-14, linear
4096, 18, 1.55962e-14, random
8192, 18, 1.24954e-14, linear
8192, 18, 1.35308e-14, random
16384, 18, 1.25442e-14, linear
16384, 18, 1.35471e-14, random
32768, 18, 1.33465e-14, linear
32768, 18, 1.35471e-14, random
65536, 18, 1.33682e-14, linear
65536, 18, 1.29887e-14, random
131072, 18, 1.36555e-14, linear
131072, 18, 1.37314e-14, random
262144, 18, 1.7396e-14, linear
262144, 18, 1.46259e-14, random
524288, 18, 1.33574e-14, linear
524288, 18, 1.33465e-14, random
1048576, 18, 1.61221e-14, linear
1048576, 18, 1.61926e-14, random
2097152, 18, 1.74936e-14, linear
2097152, 18, 1.51517e-14, random
4194304, 18, 1.61763e-14, linear
4194304, 18, 1.73635e-14, random
8388608, 18, 3.65159e-14, linear
8388608, 18, 1.79761e-14, random
16777216, 18, 6.11924e-14, linear
16777216, 18, 5.62647e-14, random
33554432, 18, 8.01659e-14, linear
33554432, 18, 7.378e-14, random
67108864, 18, 8.73704e-14, linear
67108864, 18, 8.09628e-14, random
134217728, 18, 8.90672e-14, linear
134217728, 18, 7.90654e-14, random
1024, 19, 1.26689e-14, linear
1024, 19, 1.29779e-14, random
2048, 19, 1.28315e-14, linear
2048, 19, 1.24521e-14, random
4096, 19, 1.25713e-14, linear
4096, 19, 1.24575e-14, random
8192, 19, 1.25225e-14, linear
8192, 19, 1.36718e-14, random
16384, 19, 1.26255e-14, linear
16384, 19, 1.38398e-14, random
32768, 19, 1.35037e-14, linear
32768, 19, 1.41055e-14, random
65536, 19, 1.35525e-14, linear
65536, 19, 1.30863e-14, random
131072, 19, 1.28478e-14, linear
131072, 19, 1.38832e-14, random
262144, 19, 1.40242e-14, linear
262144, 19, 1.41868e-14, random
524288, 19, 1.41272e-14, linear
524288, 19, 1.41163e-14, random
1048576, 19, 1.59974e-14, linear
1048576, 19, 1.47289e-14, random
2097152, 19, 2.10715e-14, linear
2097152, 19, 2.17545e-14, random
4194304, 19, 2.2031e-14, linear
4194304, 19, 2.11907e-14, random
8388608, 19, 2.4915e-14, linear
8388608, 19, 1.65829e-14, random
16777216, 19, 5.54136e-14, linear
16777216, 19, 2.91542e-14, random
33554432, 19, 6.56484e-14, linear
33554432, 19, 5.77717e-14, random
67108864, 19, 5.05943e-14, linear
67108864, 19, 4.76832e-14, random
134217728, 19, 5.45787e-14, linear
134217728, 19, 4.7629e-14, random
1024, 20, 1.27231e-14, linear
1024, 20, 1.32977e-14, random
2048, 20, 1.31514e-14, linear
2048, 20, 1.4203e-14, random
4096, 20, 1.28586e-14, linear
4096, 20, 1.49783e-14, random
8192, 20, 1.25388e-14, linear
8192, 20, 1.28424e-14, random
16384, 20, 1.28803e-14, linear
16384, 20, 1.35579e-14, random
32768, 20, 1.3005e-14, linear
32768, 20, 1.39428e-14, random
65536, 20, 1.34983e-14, linear
65536, 20, 1.27827e-14, random
131072, 20, 1.36176e-14, linear
131072, 20, 1.36609e-14, random
262144, 20, 1.80194e-14, linear
262144, 20, 1.35959e-14, random
524288, 20, 1.43982e-14, linear
524288, 20, 1.43115e-14, random
1048576, 20, 1.73906e-14, linear
1048576, 20, 1.72659e-14, random
2097152, 20, 2.75984e-14, linear
2097152, 20, 2.55492e-14, random
4194304, 20, 3.77194e-14, linear
4194304, 20, 3.54046e-14, random
8388608, 20, 4.39481e-14, linear
8388608, 20, 4.10913e-14, random
